评论标题,评论内容,标签
这破庄真他妈的弱,这破庄真他妈的弱,负向
合作成功，恭喜今天买进的！,合作成功，恭喜今天买进的！,正向
核心资产的代表,核心资产的代表,中性
来来来，快来大神最近一起互带左眼跳财啊。。,来来来，快来大神最近一起互带 左眼跳财啊。。,正向
不小心成了接盘侠。接盘侠,不小心成了接盘侠。[接盘侠],负向
谢谢平安送钱，跌下来再接回，来回做t了几次大笑大笑大笑,谢谢平安送钱，跌下来再接回，来回做t了几次[大笑][大笑][大笑],正向
看空的朋友，一定会后悔的，中国平安金融加科技，,看空的朋友，一定会后悔的，中国平安金融加科技，,正向
中国平安好还是阳谷华泰好,"阳谷华泰300121,0.95元/股净利润，分红0.65元/股，股价10.45， 你说哪个股票好？",中性
真假美猴王，几千亿只为一时的爽3060我复活了。,真假美猴王，几千亿只为一时的爽？3060我复活了。,中性
机构论市,湘财证券：A股短期变盘时刻又将来临　　今日两市股指跳空高开后惯性走高，10,中性
哪天超过太保你就是大哥了！,哪天超过太保你就是大哥了！,中性
20%内含价值增长，80元以下买平安都是明智的！,20%内含价值增长，80元以下买平安都是明智的！,正向
巴菲特说过做股票是别人恐慌时我贪婪，别人贪婪时我恐慌,巴菲特说过做股票是别人恐慌时我贪婪，别人贪婪时我恐慌,中性
过去的一年多注定是不平凡的一年！价值投资开始取代在我国盛行二三十年的题材炒作之风,过去的一年多注定是不平凡的一年！价值投资开始取代在我国盛行二三十年的题材炒作之风。各行各业的龙头价值股拔地而起，而绝大多数股票走上了漫漫熊途，这些是不争的事实。而未来，这种趋势只会越来越强。甚至未来，对于几乎所有的股票，短线交易会失去市场，趋势性的长线交易成为必然。就拿平安来说，...,中性
AH股中低溢价或倒溢价的股票，中国平安，安螺水泥，沪宁高速，复星医药等十年来的大牛股。所以理念和信心决定成败,AH股中低溢价或倒溢价的股票，中国平安，安螺水泥，沪宁高速，复星医药等十年来的大牛股。所以理念和信心决定成败!,正向
股市艺术品！！！,多家券商研报指出，今年出大牛股的几个板块：软件，芯片，生物医药，化工。这些都已经涨幅比较大了，比如纳思达这种股票，业绩高增长、财务报表健康，这种优质的高成长股票绝不是补涨这么简单的行情。,中性
大盘跌，平安不跌，价位就这样慢慢上去了。大盘一旦反弹，轻松过百。,大盘跌，平安不跌，价位就这样慢慢上去了。大盘一旦反弹，轻松过百。,正向
中国平安将不会平安,中国平安将不会平安,负向
在平安股东大会上，一个明确的观点是在中国保险也是朝阳行业，广度和深度密度都有很大增长空间,上证报：国常会再传重大利好 股市真正长线资金即将到来】6月21日，国务院常务会议确定了从三个层面加快发展商业养老保险的措施，其中首次明确加大财税等政策扶持，加快个人税收递延型商业养老保险试点。从海外经验来看，财税政策是撬动商业养老保险发展的巨大杠杆，而我国个人税收递延型商业养老保...,正向
买美丰的都成了SB,买美丰的都成了SB?,负向
在平安高位时，华泰证券出研报唱赞歌，为出货做铺垫。,在平安高位时，华泰证券出研报唱赞歌，为出货做铺垫。,正向
失望,失望………,负向
死了，越买越套,死了，越买越套,负向
茅台的悲剧，又重演平安了,茅台的悲剧，又重演平安了,负向
来来来，韭菜们，说诉说诉说你们心中的苦！,来来来，韭菜们，说诉说诉说你们心中的苦！,负向
平安银行和中国平安不是一家的么,平安银行和中国平安不是一家的么？,中性
日复一日等待否极泰来,日复一日等待否极泰来,中性
说好的百元平安呢,说好的百元平安呢？,负向
今天买了5只股票全套了。红盘买。没收盘就绿了,又被套了2个点。每天亏2个点不经亏啊,负向
今年中央把股市的定位提到前所未有的高度，即股市是国家核心竞争力的重要组成部分，资,今年中央把股市的定位提到前所未有的高度，即股市是国家核心竞争力的重要组成部分，资本市场是大国角力的舞台。这些表述都极大地肯定资本市场的作用。股市不仅是经济的晴雨表，反过来也会影响经济的发展。繁荣的股市将会有力地促进经济发展和结构转型。股市繁荣，投资者赚到收益，消费信心会大幅提升，带动消费，上市公司也可以通过直接融资来扩大再生产。何况平安这根定海神针呢，涨涨跌跌不管它!看长远一点,正向
平安你这个害人精！,平安你这个害人精！,负向
买平安能抱我股市平安嘛,买平安能抱我股市平安嘛[哭]最近不好过啊,中性
亲上车没老司机准备带你飞咯今晚还有两只,"亲,上车没？老司机准备带你飞咯 今晚还有两只",正向
怎么像鬼子进村的感觉,[为什么],负向
叫多的那么多呵呵看跌,叫多的那么多呵呵看跌,负向
601318是不是要拉了呢，进dxjymj,601318是不是要拉了呢，进dxjymj,正向
我痴心无悔,我痴心无悔,中性
大局已定，超乎想象，龙头发力！,大局已定，超乎想象，龙头发力！,正向
指数涨。主力趁机做差价出货兄弟们不要接盘,指数涨。主力趁机做差价出货兄弟们不要接盘,负向
正好借高价股回调洗洗，坚定看好百元股,正好借高价股回调洗洗，坚定看好百元股,正向
马上拉升翻红猛涨,马上拉升翻红猛涨,正向
港资越买越跌，全部被套不可迷信外资,港资越买越跌，全部被套 不可迷信外资,负向
长期持有，卖来卖去不是给证券赚钱么,长期持有，卖来卖去不是给证券赚钱么？,正向
别跌了，狗屎,别跌了，狗屎,负向
判断正确，操作失误！,判断迈进80的门槛肯定还要退出来整固，所以80.38挂卖5000股，想做点差价过周末.....祝贺挂卖80.1的朋友！！,负向
步子太大了，又扯淡了！,步子太大了，又扯淡了！,负向
中国平安这是印钞了吗，走这么好,中国平安这是印钞了吗，走这么好,正向
笑死我了还装逼想起来护盘不到半分钟直接被空狗秒杀了国家队就是个纸老虎赞,笑死我了、还装逼想起来护盘、不到半分钟直接被空狗秒杀了、国家队就是个纸老虎[赞][大笑],负向
蒙牛五一节后大涨6点创出新高，下周乳业股飙升，光明乳业一季度扣非增长25%，业绩,蒙牛五一节后大涨6点创出新高，下周乳业股飙升，光明乳业一季度扣非增长25%，业绩拐点出现，目前市值才一百多亿，远低于1800亿以上的蒙牛和伊利，明显低估。,正向
外资入市和撤资都发表声明，我们的机构偷着干，,看好黄山胶囊,中性
避风港,避风港,负向
盘面发出强烈信号量价严重背离！！！无量拉,"这周发多少新古啦,利润又不少",中性
下午要反弹,下午要反弹,正向
必须跌停！！！,复权看，金融涨的太多了,负向
做价值投资，就是赚两种一钱，一种就是市场情绪,考评力度加大 食品安全工作重要性提升,正向
平安，大盘是红的，你干啥呢,平安，大盘是红的，你干啥呢,负向
中国平安，基本面操作，马上为大家为大家一一道来，,把握不准的，可以自行留言,中性
这是向68冲刺啊2800点靠你的了,这是向68冲刺啊 2800点靠你的了,正向
准备涨停,[微笑]要是说准了肿么办？不会说我操纵股价吧。。。。,正向
2027年世界上最大经济体里市值最大的股票是,中国平安！,正向
漲多回正常,漲多回,正向
大家认为大平安什么时候实现88.48,大家认为大平安什么时候实现88.48？,中性
利润再高也敌不过大A的绿！,利润再高也敌不过大A的绿！,负向
快跑啊平安大象要到了。。,快跑啊 平安 大象要到了。。,负向
本周最大概率走势：278028002850一线震荡筑底，周五坚持收在压制下,本周最大概率走势：2780（2800）-2850一线震荡筑底，周五坚持收在压制下方，今天大概率要涨一涨去2850-60一线压制。下半周回落筑底。中期仓位本人还未建仓，短线最近机会会逐步增多，注意操作节奏。,中性
这三类人根本不适合炒股，赶快自检！,根据多年的观察，有些人是不适合参与市场的，比如：  1、太聪明的人。  太聪明的人喜欢走捷径，喜欢急功近利，自然容易沉迷高抛低吸，也容易迷失在追热点赶游资的陷阱。  见过很多聪明的人，他们从进入股市的时候，就是赚一把就走的心理。他们相信内幕消息，甚至相信自己的感觉，这样的话，距离...,中性
你看顶部利好出货，我看是底部利好持有，好日子在后面！！,你看顶部利好出货，我看是底部利好持有，好日子在后面！！,正向
中国平安很强啊,中国平安很强，老乡们不要走，大资金真的会进来的,正向
浔兴股份尾盘涨停！！！速度围观,浔兴股份尾盘涨停！！！速度围观,正向
客观的说，大部分个股都腰斩过半，如果我有平安一定卖掉，这种行情就不考虑赚钱了，能不损失就不错了,。。。。。。。。。。。。。,正向
但斌到处演讲茅台等几个股，让众人冲进去，机构怎可能抬轿为别人！,但斌到处演讲茅台等几个股，让众人冲进去，机构怎可能抬轿为别人！但斌算自信？真正想买股的人巴不得自己买得更低，不会大肆吹捧,中性
关键时候看平安大笑,关键时候看平安[大笑],正向
中国平安的未来,一股平安换二股贵阳银行； 贵阳银行会成为股市耀眼的一颗新星； 0.因为贵阳银行发行价市盈率6倍，绩优股最低发行价 现价买入15元等于中签新股，因为； 上海银行的发行价17元，第一个板就会到25元，流通股本6亿，贵阳5亿】 1.如果贵阳银行股价到60元，市盈率30多倍 2.如果贵...,中性
稳定的收益是最重要的，市场投资风险始终要放在第一位，重要的是没有一句马后炮，都是,稳定的收益是最重要的，市场投资风险始终要放在第一位，重要的是没有一句马后炮，都是盘前通知,正向
深度报告能,深度报告能,中性
当蓝筹股已经失去投资价值时。这样的股市不知是风险还是机会,我茫茫然跟人一样在股市中博傻。 是对是错都不知道 连证金都买向垃圾股了 证明证金也不知所向的博傻 但我还是清醒证金是短线高手把我们的钱赚的差不多了 钱除了证金赚和交易费和大小非解渴 我们来送钱送的很豪爽,负向
下周元旦后大涨我已经可以肯定了，平安有救了。大盘股白马股本周就是在打压吸筹，而且,下周元旦后大涨我已经可以肯定了，平安有救了。大盘股白马股本周就是在打压吸筹，而且假期利好会比较多，次新股小盘股由于换手率比较大行为相对短视，周一周二会比较弱拉升式吃货吧，下周后半部分指数拉高震荡它才会拉高。感觉上根11.12号那波行情会比较相似。下周涨了过后怎么走需要继续观察，图中反向指数就是个出货走势，本来周五反复思量就认为下周偏多概率百分之八九十，通过观察这个指数我可以百分百肯定下周三开盘大涨...,正向
今天股市走势明显向下，大家如果有短期投资的，还是尽早获利了结持币观望，现在的价位还是高位运行，风险在股市大概率向下的情况下会有放大表现,今天股市走势明显向下，大家如果有短期投资的，还是尽早获利了结持币观望，现在的价位还是高位运行，风险在股市大概率向下的情况下会有放大表现,负向
仿佛看到了一直大象在飞舞,仿佛看到了一直大象在飞舞,中性
去年抄的底，今天还差一点解套不等了走了！,去年抄的“底”，今天还差一点解套 不等了 走了！,负向
明天补跌，港股补跌,明天补跌，港股补跌,正向
75.5进去比较合适,75.5进去比较合适,中性
绝不屈服！霸气买入中国平安！！,绝不屈服！霸气买入中国平安！！,正向
都有人预测茅台到900元了，大家猜猜平安什么时候破100元,都有人预测茅台到900元了，大家猜猜平安什么时候破100元？,中性
漂亮50和白马股回调都是假摔，回调满仓买入坚定持有再创新高,漂亮50和白马股回调都是假摔，回调满仓买入坚定持有再创新高,正向
几个意思呀天天冲高回落,几个意思呀天天冲高回落？,负向
抄底啊，铁底，因为平安必上100,抄底啊，铁底，因为平安必上100,正向
大家说说明天平安跌几个点,大家说说明天平安跌几个点？,负向
平安不倒，股市不平安,平安不倒，股市不平安,负向
今日又要创新高了，期待。。。,今日又要创新高了，期待。。。,正向
平安普惠高利贷,平安普惠高利贷,中性
回购好！涨了就给你你要多少给双倍,2,正向
我周四82.4,我周四82.4,中性
两只估值严重低估的煤炭股。恒源煤电，市盈率8.3倍，平煤股份，市盈率10.6倍。,两只估值严重低估的煤炭股。恒源煤电，市盈率8.3倍，平煤股份，市盈率10.6倍。目前正好开启通胀模式，货币贬值，资源股涨价。煤炭股前期涨幅不大，投资者可以关注。,正向
关灯吃面,关灯吃面,中性
想问下，今年到现在炒股有正收益的吗除了中签的。本人亏得一塌糊涂,想问下，今年到现在炒股有正收益的吗？除了中签的。本人亏得一塌糊涂,负向
为什么老刘护盘反受全国人民声讨,为什么老刘护盘反受全国人民声讨,负向
79岁老股民发5300字建言信：,主席，您好！ 中国股市牛短熊长，投资者损失惨重。近年来更是股灾频发。许多问题是交易制度与国情不符。必须从源头上解决。乱套国外方法往往适得其反，如加杠杆，熔断，低位主张让市场自由落体挤泡沫等等。我考虑多年，提出以下12条建议，望百忙之中过目，盼对挽救中国股市危局，振兴股市有帮助。中...,中性
今天操作失败做T成本提高了5毛,今天操作失败 做T成本提高了5毛,中性
港股太低了，迟早要跌回70,港股太低了，迟早要跌回70,负向
平安保险601318股价创新高是必然的，现在还是熊市期间只是需要你耐心和时间问题，国际投资认可H股己高过A就是事例，只要是好公司中国爱赌韭菜不买，外资投资者买，02318未来的茅台。,平安保险601318股价创新高是必然的，现在还是熊市期间只是需要你耐心和时间问题，国际投资认可H股己高过A就是事例，只要是好公司中国爱赌韭菜不买，外资投资者买，02318未来的茅台。,正向
牛气！今天又创新高啦,牛气！今天又创新高啦,正向
两会圆满闭幕之际，平安突破盘局之时！,1、3月20日，两会闭幕。凑巧的是，当晚平安公布年报。年报之后，千人持股计划将再次入市，从二级市场大肆买进平安A股，导致平安大涨突破。 2、还有个原因就是，陆金所的上市地点将进一步明确，回A股上市的可能性接近8成。 3、平按H股则没有顾忌，将提前几天向上突破，今天大涨2块多就是证...,正向
目前是机构融资盘，杠杆盘的踩踏阶段，跌哪去无法预知！这些平仓卖盘都是机器设置好的,目前是机构融资盘，杠杆盘的踩踏阶段，跌哪去无法预知！这些平仓卖盘都是机器设置好的，自动平仓，冷血无情，麻木不仁！ 目前只有神创能救市了，这B主力在想什么呢？,中性
平安调整了,平安调整了,负向
价值投资华润三九，目标价格30倍PE,强力买入华润三九。 今年二季度，华润三九对旗下三九胃泰、三九感冒灵、三九批把露等产品进行提价。一季度净利润同比增长12.87%，小幅调高全年净利润同比增长15%，eps：1.53元/股。目前股价27.63元/股，对应PE：18倍，按医药行业最低平均估值30倍PE计算股价：46元/...,正向
好样的，为国护盘，冲啊,好样的，为国护盘，冲啊,正向
上冲乏力，调整开始,上冲乏力，调整开始,负向
冬天还长着那,冬天还长着那,负向
下周一开始创新高赞赞赞赞,下周一开始创新高[赞][赞][赞][赞],正向
68.3了还能进吗,68.3了还能进吗,中性
搬起石头砸自己的脚，现在都跑完了，你们的想办法弄资金回购了，不然你们等着倒闭吧。,什么千亿回购，搬起石头砸自己的脚，现在都跑完了，你们得想办法弄资金回购了，不然你们等着倒闭吧，大家都卖掉吧，留一个壳。让他们自己玩吧,负向
A股纳入MSCI首月，北上资金净买入近285亿元由于假期结算因素，昨日是沪深股通,A股纳入MSCI首月，北上资金净买入近285亿元由于假期结算因素，昨日是沪深股通在6月份的最后一个交易日。A股纳入MSCI的首个月份，北上资金累计净买入近285亿元。具体来看，北上资金逢低吸纳以中国平安等为首的大盘金融股，同时，对医药生物、有色金属和食品饮料等行业个股的增持也比较...,中性
88.30谁接的我的,88.30谁接的我的,中性
这么砸盘，我靠。,这么砸盘，我靠。,负向
选择了这个大家所谓的蓝筹股，收益就选择了平庸。,选择了这个大家所谓的蓝筹股，收益就选择了平庸。,中性
阿拉木汗什么样不肥不胖也不瘦,阿拉木汗什么样↗不肥不胖也不瘦↘,中性
7.78的市盈率献花,7.78的市盈率[献花],正向
平安到底怎么了！大家这么恐慌！有人知道点啥不！,平安到底怎么了！大家这么恐慌！有人知道点啥不！,正向
坚定重仓平安，保持良好心态，立足长钱向钱看！,连续“十”年保持近30%的业绩复合增长率， 孵化并参股近“十”个独角秀或拟上市独角秀公司， 目前61元股左右价市盈盈率居然不足“十”倍， 堪与华为媲美的狼性“十”足的强大基因， 放心持有“十”年必有丰厚回报强烈预期.......  基于这连串“十”，所以，我们不因短期调整而困惑，...,正向
缺口补完了还要跳水吗,缺口补完了还要跳水吗,中性
一群野蛮人继续忽悠吧，什么东西,一群野蛮人继续忽悠吧，什么东西,负向
分流严重,分流严重,负向
五穷六绝不是乱说的，等一个多月后再看吧,五穷六绝不是乱说的，等一个多月后再看吧,中性
大家猜6个月平安价格是多少,120,中性
听说A放假全球大涨大涨，A要开盘吓得全球大跌暴跌，诸位说说A是什么,听说A放假//全球大涨大涨，A要开盘//吓得全球大跌暴跌，诸位说说A是什么,负向
你若想做和上海家化一起成长，麻烦替换你家的日化用品！请记住：女士护肤美加净男士,你若想做和上海家化一起成长，麻烦替换你家的日化用品！请记住：女士护肤美加净、男士护肤用高夫、婴儿呵护用启初、香皂用六神、牙膏片仔癀！每个家庭都能很好的爱国，请用行动支持国产好品牌[抱拳][抱拳][抱拳],中性
季报怎么还没发出来,季报怎么还没发出来？,中性
开始调整了，和去年一样，洗洗更健康，这样的话，还得10个点的下跌！,开始调整了，和去年一样，洗洗更健康，这样的话，还得10个点的下跌！,负向
预测今天收盘在55.6上方微笑,预测今天收盘在55.6上方[微笑],正向
4月29日股东大会通过回购方案，并且开始实施；4月30日公布一季报。还剩4个,4月29日股东大会（通过回购方案，并且开始实施）；4月30日公布一季报。还剩4个交易日，平安必上90,中性
603906值得拥有,603906值得拥有,正向
李玲的语气依然颓废,李玲的语气依然颓废,负向
加油！先超从数字上过H股再说,加油！先超从数字上过H股再说,正向
798不是重组就是重大资产注入的,798不是重组就是重大资产注入的,负向
不谋万世者！不足谋一时共勉,不谋万世者！不足谋一时；不谋全局者！不足谋一域。长线是金靠修炼！中线是银靠学习！短线是铜靠运气！1、付出就想马上有回报：适合做钟点工2、期望能按月得到报酬：适合做打工族3、耐心按年度领取年收入：是职业经理4、能耐心等待三到五年：适合做投资家5、用一生的眼光去权衡：你就是企业家股市有风险.投资需谨慎,中性
下看到5355,下看到53～55,中性
现在的点位，可能是，平安最后的机会，赶紧满仓干吧,现在的点位，可能是，平安最后的机会，赶紧满仓干吧,正向
看茅台一骑绝尘翻越一千大关而去，恨平安踌躇不前仰望整百小沟停步。,看茅台一骑绝尘翻越一千大关而去，恨平安踌躇不前仰望整百小沟停步。,负向
我都不用看就知道今天收盘价67以下,我都不用看 就知道今天收盘价67以下,正向
都散了吧，鸡肋行情，不做也罢,都散了吧，鸡肋行情，不做也罢,负向
现在卖吗,现在卖吗,中性
2016的开门熊.股票真的危险了,[大笑],负向
平安涨停之日，就是股市危险之时！它是股市的定海神针，只能慢慢涨，一快就出事的,平安涨停之日，就是股市危险之时！它是股市的定海神针，只能慢慢涨 ，一快就出事的 ，不信，你去看它第一次涨停是什么情况。,负向
如果说蒸蒸日上的公司，不值得投资，A股还有那些股票可以投资，投资亏损还是领导人一句话,如果说蒸蒸日上的公司，不值得投资，A股还有那些股票可以投资，投资亏损还是领导人一句话,正向
上周五大涨说伟大平安，今天下跌又说垃圾平安，不看好就走，别瞎BB！,上周五大涨说伟大平安，今天下跌又说垃圾平安，不看好就走，别瞎BB！,负向
国之祸害！,国之祸害！,负向
痛苦的不会是坚守下来的朋友，而会是那些反反复复的人。因为，他们失去的远比坚守下来,痛苦的不会是坚守下来的朋友，而会是那些反反复复的人。因为，他们失去的远比坚守下来的人多。而且，时间越久越明显。看空平安完全可以，但无节制的肆意看空平安，等于往自己头顶悬挂一把利剑，问问你自己，你真有那个肆意看空平安的底气吗？？涨也好，跌也罢，你只需相信社会向前发展的逻辑不会变，社...,负向
大资金在跑,大资金在跑,负向
保费增长21%，寿险新业务价值个人方面，5月份由负转正，实现10.6%的增长；团,保费增长21%，寿险新业务价值个人方面，5月份由负转正，实现10.6%的增长；团体方面，负增收窄至-0.9%。随着新业务价值恢复正增长并加速，为未来内涵价值的增长创造了最重要的条件，压制平安股价最主要的因素开始消退。,中性
明天收盘从回60块，恢复正常，,明天收盘从回60块，恢复正常，,正向
美股盘前大跌，平安现在风险不小！,美股盘前大跌，平安现在风险不小！,负向
从昨天平安股价的表现看，机构也就是散户的水平！！！,机构也有疯得时候！中国的机构也就是个散户水平！,负向
保险都是垃圾股,保险都是垃圾股,负向
三年3倍股之四荣盛发展,三年3倍股之四--荣盛发展十年10倍股确实难找，即使找到了也不一定能坚持而实现收益，但三年3倍却不是那么难！本小散曾于12年中报期间4.3-4.5元（均为未复权价）左右买入国投电力，14年中报期间买入2.8-2.9元中国建筑，16年年报期间33-35元买入五粮液，持股三年左右，均获得3倍（涨200%）的收益。现在18年下半年7.7-7.8元买入的荣盛发展成为三年3倍股的可能性很大！理由如下：一、根...,正向
平安拿100亿可以把自家的股票炒到160,平安拿100亿可以把自家的股票炒到160,负向
为什么今天会涨,为什么今天会涨？,中性
认输走了。,认输走了。,负向
恭喜新华超越平安，成为保险第一股！,恭喜新华超越平安，成为保险第一股！,正向
三千字亿养老金进场，平安下周必定暴涨。,根据《证券时报》1月27日报道，目前北京、安徽等9个省（区、市）签署了4300亿元的养老金委托投资合同，2731.5亿元资金已经到账并开始投资。 这些养老金肯定不可能买进乐视网之流的垃圾股、题材股、概念股、亏损股、减持股……，他们肯定买进平安、茅台、格力、美的等蓝筹成长股。 所以...,正向
耐心等待回购吧,耐心等待回购吧,中性
跪求散户接盘,跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘跪求散户接盘,负向
如果是投资的心态请您拿好收益需要时间和耐心。如果是谋求短线利益那赌的是你买,"如果是投资的心态,请您拿好,收益需要时间和耐心。如果是谋求短线利益,那赌的是你买卖的眼光,涨了是你看的准,跌了是你走了眼。",正向
超大户一直跑，大户以下就一直接，全是超大户在砸盘。,超大户一直跑，大户以下就一直接，全是超大户在砸盘。,负向
买入数钱，真便宜,买入数钱，真便宜,中性
短线别碰平安，投资长线的可以玩玩,短线别碰平安，投资长线的可以玩玩,中性
这一波下跌估计到56左右，个人观点,。。。。。,负向
主力天天净流出咋回事,主力天天净流出咋回事？,负向
中国平安主力操纵股价嫌疑，怎么没人查,不会不管吧？？？？？？？？？？,负向
杀手继续。。杀,杀手 继续。。杀,负向
主力耍小聪明套外资啊,主力耍小聪明套外资啊？,负向
全仓买入中国平安,全仓买入中国平安,正向
业绩良好期待价格追求价值,中长线,正向
下周有个比较大的反弹反弹高度就是补昨天的向下跳空缺口补完就崩切记弹起来的时候就跑电光火石之间一定要坚决不然最少再往下套30%,下周有个比较大的反弹 反弹高度就是补昨天的向下跳空缺口 补完就崩 切记弹起来的时候就跑 电光火石之间一定要坚决 不然最少再往下套30%,中性
越跌越有价值，合理估值应该在100元左右。,越跌越有价值，合理估值应该在100元左右。,正向
A股没几家能一年分红两次的,A股没几家能一年分红两次的,中性
有人幻想平安会下跌，我只能说呵呵了！,有人幻想平安会下跌，我只能说呵呵了！,中性
中国平安股价迟早要超贵州茅台买入买入买入,中国平安股价迟早要超贵州茅台[买入][买入][买入],正向
中国平安SH601318明天看表现！增持汇丰，业绩持续增长，民众所望！拭,$中国平安(SH601318)$明天看表现！增持汇丰，业绩持续增长，民众所望！拭目以待吧！,正向
后市调整幅度第二波攻击70元,中国平安已完成第一波攻击50元，后市将在45-51之间搭建整理平台，估算一个月，然后向上突破，第二波攻击70元。,正向
买股票就是爱国！买中国优质核心股票中国平安包发财！！,买股票就是爱国！买中国优质核心股票-中国平安包发财！！,中性
把握最重要的机遇，做强做大公司世界级，对得住国家和人民给予的职责，不要太在意,把握最重要的机遇，做强做大公司（世界级），对得住国家和人民给予的职责，不要太在意目前股价[大笑],正向
你们跑了我又来了，一次性买了19万，各位好走不送,你们跑了我又来了，一次性买了19万，各位好走不送,正向
热烈庆祝中国平安创历史收盘新高！！！,热烈庆祝中国平安创历史收盘新高！！！,正向
ST上证ST上证退上证没毛病！,ST上证→*ST上证→退上证→没毛病！,负向
吊那嘛，拉上去啊,吊那嘛，拉上去啊~,中性
次新股只要是机够买的就抢起来。只要是低于10个板的都有人做庄，疯了,疯了,负向
平安一个年收益千亿以上的公司。12月的股东大会前必涨守好筹码长期看好,平安一个年收益千亿以上的公司。12月的股东大会前必涨 守好筹码 长期看好,正向
三种投资风格对应五大投资主题,昨日博文提到猴年五大投资（自救、创新、成长、稳健、周期）主题。那么，五大投资主题分别适合什么样的投资者呢？这与投资者的风格有关。 通常可将投资者划分为三种类型： 一是储蓄类投资者，其特征是：性格偏稳健，对风险心理承受能力较低，希望获得较银行长期存款利率高的利润； 二是创业类投资者...,中性
再见，中国股市,再见，中国股市,负向
大涨的理由是啥,大涨的理由是啥,中性
我来砸盘了，买什么跌什么大笑,我来砸盘了，买什么跌什么[大笑],负向
每次大盘有向上的迹象，美国就恐吓，不行就加码恐吓，再不行就自身作则，导致全球暴跌,每次大盘有向上的迹象，美国就恐吓，不行就加码恐吓，再不行就自身作则，导致全球暴跌。自从入摩以来有好几次都是同样手法，这动机不良啊!,负向
卖出，等过年,卖出，等过年,中性
房子回归居住属性，好不,房子回归居住属性，好不？,负向
这只蓝筹股一周吸引机构反复登门券商还喊还有3,要“开挂”的是它？,正向
6.5579.96一轮大牛市行将结束，3到5年千万别碰！,逢高减磅是主题。,负向
今天怎么不涨啊,主力去哪了啊，怎么不不涨啊？,负向
中国平安回购带领大盘上涨,中国平安回购带领大盘上涨,正向
小天鹅都上70多了美国世界第一品牌惠而浦才7元,建议大家都去看一下惠而浦公司公布的，2017年3季报公告！ 3季报说：总资产84亿多，按总股本7.66亿算的话，股价应该在10.96元。 现在股价7.1元算，总盘子才价值50几亿吗？可以肯定的说，股价严重低估！  3季报只是营业收入这一项，都是49亿，还没算库存，和公司那么多固定...,中性
600691阳煤是山西国资委混改重点企业，星期五先知先觉机构星期五抢筹，星期一散户可以大胆买入，才三元多……,600691阳煤是山西国资委混改重点企业，星期五先知先觉机构星期五抢筹，星期一散户可以大胆买入，才三元多……,正向
这是要拉涨停的节奏为了平安的无私奉献点赞啊！献花献花献花,这是要拉涨停的节奏 为了平安的无私奉献点赞啊！[献花][献花][献花],正向
60元以下的中国平安是2019年的肉,60元以下买入，长期持有，2019年你会笑醒的。,正向
本周德展健康持续涨停。,本周德展健康持续涨停。,正向
w底低估恐怖，干就对了。必上150,w底低估恐怖，干就对了。必上150,正向
大单疯狂出逃，只有我们小散在傻傻的等,大单疯狂出逃，只有我们小散在傻傻的等,负向
说过了，不要跑不要跑不要跑！,说过了，不要跑不要跑不要跑！,负向
公告：因股价下跌，今日开盘将开始增持！,看看前几天被骂的苹果就知道以后的平安啥样。本人今日将继续增持2000股，3个月内不减持！特此公告！,正向
这股吧有狠人，已经提前一个星期告诉大家要大跌了，翻看9月20号的文章看看不是马后,这股吧有狠人，已经提前一个星期告诉大家要大跌了，翻看9月20号的文章看看不是马后炮！乱换仓本金都得赔不少。看看中兴通讯，有想换仓的抓紧抛。,中性
拉过5日线吗,拉过5日线吗？,中性
看到你这穷酸相就讨厌，看看人家人寿！,看到你这穷酸相就讨厌，看看人家人寿！,负向
放弃买入,放弃买入,负向
上车成功，感谢光亨股记，感谢感谢，微笑你们可以看看，提示全都是提前，决对没有,上车成功，感谢光亨股记，感谢感谢，[微笑]你们可以看看，提示全都是提前，决对没有马后炮。,正向
90那么难过去,多少次一到90就跌了,负向
早上追进去的，报个到....哈哈，悲剧啊,早上追进去的，报个到....哈哈，悲剧啊,负向
砸不下来就反手做多吧，天意不可违。保险加科技，利国利民，何不顺应民心，偏要撞得头破血流。,砸不下来就反手做多吧，天意不可违。保险加科技，利国利民，何不顺应民心，偏要撞得头破血流。,负向
要跌停,要跌停,负向
耐心等待了,耐心等待了,中性
过度乐观会伤害平安，调一调非常好！大笑大笑大笑大笑大笑大笑,过度乐观会伤害平安，调一调非常好！[大笑][大笑][大笑][大笑][大笑][大笑][大笑],正向
平安公司是不是要倒闭了，股价大跌,平安公司是不是要倒闭了，股价大跌？？？,负向
所谓价值投资的骗局终将崩塌！,在2015--2017的暴熊时期，靠所谓价值投资的疯狂骗局到现在要崩塌了，哪起来的必定暴跌更低，看你们哈能表演到几时！中小创才是发展的方向。套在烂筹的高山上就是20年的埋葬！,负向
跌破半年线两天了,跌破半年线两天了,负向
无人驾驶龙头小康股份,无人驾驶龙头——小康股份,正向
真稳,真稳,正向
这样的调控是为了让外资再买回来吗,这样的调控是为了让外资再买回来吗？,中性
空争夺白热化！帶領朋友們抄底短線三只金股，大家跟好我抓住這壹波行情！,空争夺白热化！帶領朋友們抄底短線三只金股，大家跟好我抓住這壹波行情！,正向
一副要跌到70的样子,一副要跌到70的样子,负向
