用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
5.7年,catsiv,保利发展(600048.sh),保利一点半开始在15元等,泰禾集团已经补了缺口，保利在等大盘是否也有意要去补，量量尺寸看看还要跌多少,2018/2/13 13:54,中性,0
3.5年,保住收益要紧,保利发展(600048.sh),久供不上，必下挫,久供不上，必下挫,2019/11/28 11:11,负向,-1
7.1年,n1428971823b538f,保利发展(600048.sh),大盘在上你看到吗。,大盘在上你看到吗。,2017/10/19 17:49,中性,0
15.3年,lzhao25676,保利发展(600048.sh),洋鬼子来抄底了！胜利,前海开源首席杨德龙：学习外资的选股思路,2017/7/29 14:44,正向,1
4.2年,上车心不慌1577,保利发展(600048.sh),下午抄底的节奏吗,下午抄底的节奏吗,2018/3/9 11:21,中性,0
4.6年,livkop,保利发展(600048.sh),央企改革龙头,央企改革龙头,2018/11/11 17:06,正向,1
7.4年,秋去冬来又一年,保利发展(600048.sh),砸死了！,砸死了！,2017/2/17 14:46,负向,-1
3.9年,在襄阳,保利发展(600048.sh),主力买了那么多不可能绿,主力买了那么多不可能绿,2018/8/15 10:17,中性,0
7年,传说中的徐总,保利发展(600048.sh),本来全仓云铝，昨天手链换了两层保利，你的良心不会痛吗,本来全仓云铝，昨天手链换了两层保利，你的良心不会痛吗,2018/3/6 13:43,负向,-1
4.5年,股友nGThvn4678,保利发展(600048.sh),目前唯一的正确操作,目前唯一的正确操作,2017/12/5 23:00,中性,0
6.8年,iijianxz5948,保利发展(600048.sh),这是要易主了吗。,这是要易主了吗？。,2018/1/29 9:12,中性,0
6.5年,愿天堂没有股票,保利发展(600048.sh),擦尼玛的，我明明撤单了，为什么还是买进了,擦尼玛的，我明明撤单了，为什么还是买进了,2018/3/19 13:09,负向,-1
5.4年,IVAN哈哈哈哈,保利发展(600048.sh),买保利还不如买乐视,买保利还不如买乐视,2017/10/12 13:15,负向,-1
4.5年,股友Y2kCbl,保利发展(600048.sh),利好落地今天保利物业上市了，你懂得，保利发展回调开始。,利好落地今天保利物业上市了，你懂得，保利发展回调开始。,2019/12/19 9:22,中性,0
7.8年,芈离岛,保利发展(600048.sh),无语了都昨天涨的正好够今天跌,无语了都 昨天涨的正好够今天跌,2016/6/16 19:46,负向,-1
6.9年,额头值得回忆,保利发展(600048.sh),此股是熊股中的垃圾,此股是熊股中的垃圾,2016/3/31 13:30,负向,-1
7年,芨娣可娥,保利发展(600048.sh),早晚还要被中行超越,早晚还要被中行超越,2018/5/15 12:57,负向,-1
5.6年,罗洞学府,保利发展(600048.sh),守候了保利一年多，经历了几起涨跌，今天是时候放手了，祝留下保利的股友发财，希望保,守候了保利一年多，经历了几起涨跌，今天是时候放手了，祝留下保利的股友发财，希望保利再创新高。,2018/1/2 10:44,正向,1
6.8年,oO风雅Oo,保利发展(600048.sh),因此，长期美债收益率,因此，长期美债收益率,2018/5/11 13:38,中性,0
4.5年,茅台来一箱,保利发展(600048.sh),大哥，房地产的兄弟们可都在看着您呢，你可得红住,大哥，房地产的兄弟们可都在看着您呢，你可得红住,2019/8/2 14:47,正向,1
6.4年,牛市何在呢,保利发展(600048.sh),今日最高点14.68,上面压力大,2019/9/17 11:03,中性,0
2.8年,牙医杜,保利发展(600048.sh),主为洗盘。吓死胆小得。我就不抛，看你跳得跟猴子一样，其实主力急呀！现在小散也聪明,主为洗盘。吓死胆小得。我就不抛，看你跳得跟猴子一样，其实主力急呀！现在小散也聪明了。没筹码,2019/12/11 10:28,负向,-1
4年,唔想写名字,保利发展(600048.sh),今天真的慌得一批,今天真的慌得一批,2018/9/5 11:30,负向,-1
6.7年,yashi168,保利发展(600048.sh),国开行已澄清棚改相关传言系虚假信息！,国开行已澄清棚改相关传言系虚假信息！应依法追究造谣者的法律责任，可怜不少散筹码又被骗走了，明天希望能低开再接回来。,2018/6/27 17:46,中性,0
5年,莫恋剑8821,保利发展(600048.sh),满仓已经满仓了..坐等拉升....鼓掌,[满仓]已经满仓了..坐等拉升....[鼓掌],2017/5/12 11:41,正向,1
8.4年,hhy1818,保利发展(600048.sh),还得探底，910元见,还得探底，9-10元见,2018/7/11 21:52,中性,0
4.6年,股友e95cuf7387,保利发展(600048.sh),懂事长让职工跟投，自己不跟投，是利好还是利空，请问哪位股友分析一下呗。,懂事长让职工跟投，自己不跟投，是利好还是利空，请问哪位股友分析一下呗。,2017/12/22 17:57,负向,-1
4.3年,河北森琳无线,保利发展(600048.sh),坚持才能胜利，潜在爆发这周必涨不到16不出,不受干扰现在不涨是好事，必有大爆发,2018/3/27 15:03,正向,1
7年,心态决定盈亏888,保利发展(600048.sh),收盘恶心一下呵呵呵真够恶毒的,[摊手],2019/3/11 14:55,负向,-1
5.5年,日进满斗地李寻欢,保利发展(600048.sh),背靠母公司大树！保利有戏！！,背靠母公司大树！保利有戏！！,2018/9/20 16:49,正向,1
6.8年,前方圈ek4729,保利发展(600048.sh),周期传统行业布局良机。,周期传统行业布局良机，买买,2016/3/3 13:29,正向,1
4.8年,股友i6e5TQ,保利发展(600048.sh),港股中的地产已经开始上涨,港股中的地产已经开始上涨,2019/10/16 13:17,正向,1
7.1年,n14283908012b2ec,保利发展(600048.sh),这五类投资者最能赚钱,德银X-Trackers嘉实沪深300中国A股ETF在纽约收,2017/6/24 22:36,中性,0
7.1年,单饼卷馓子,保利发展(600048.sh),15块钱的压力这么大,15块钱的压力这么大,2019/4/11 10:25,正向,1
4.3年,永远不满仓干,保利发展(600048.sh),散户们请看盘口，对倒出货,散户们请看盘口，对倒出货,2018/5/6 16:20,中性,0
4.4年,股友HiCNYc5769,保利发展(600048.sh),翻红的走势啊，但距离解套还有一段距离啊,翻红的走势啊，但距离解套还有一段距离啊,2018/1/3 13:54,正向,1
4.2年,没名字了操,保利发展(600048.sh),吸血的股市呀，跌的比火箭还快，谁跑的快谁赢！！傲傲傲,吸血的股市呀，跌的比火箭还快，谁跑的快谁赢！！[傲][傲][傲],2018/2/28 9:34,负向,-1
5.4年,股友uiKiRL,保利发展(600048.sh),两笔5000手这是昨天那位万手哥亏3角5出了,两笔5000手 这是昨天那位万手哥亏3角5出了？,2018/3/8 11:04,负向,-1
4.4年,方针论市,保利发展(600048.sh),海南板块崛起，次新股持续活跃，相关个股保利地产，伊利股份，北大荒，中环股份，苏宁易购,4月9日消息，受贸易战影响两市低开，临近午盘两市逐渐回暖，创业板指、沪指先后翻红；午后沪指弱势震荡，创指小幅回落，截至收盘，沪指报3138.29，涨0.23%，创指报1841.65，涨0.26%。从盘面上看，海南、卫星导航、自由贸易港居板块涨幅榜前列，小米、宁德时代概念、养殖业居...,2018/4/9 17:38,正向,1
13.5年,阳光宇露,保利发展(600048.sh),沪乍杭铁路明年开工嘉兴人看看有没有路过你家,TCL集团,2017/8/1 9:57,中性,0
7.3年,股海乱窜,保利发展(600048.sh),本散公告：买入保利两万股，持股比例自己算,吓吓大股东,2016/8/4 18:09,正向,1
6.7年,动静检白2288,保利发展(600048.sh),你好好反省你自己，到底,你好好反省你自己，到底,2017/11/6 18:57,负向,-1
6.5年,黃艺BB,保利发展(600048.sh),快涨快涨，俺急用钱,快涨快涨，俺急用钱,2017/3/21 14:58,中性,0
4.7年,正新鸡排,保利发展(600048.sh),加油保利,加油保利,2019/8/29 11:17,正向,1
6.8年,wsx7281,保利发展(600048.sh),上午还有20分钟，冲板足够了,上午还有20分钟，冲板足够了,2018/2/13 11:08,正向,1
12.5年,股友5Cdhtl,保利发展(600048.sh),我去年买个表,我去年买个表,2018/5/29 5:14,中性,0
4.4年,股友bspDUG,保利发展(600048.sh),保利地产短期方向选择,保利地产 短期方向选择,2018/4/24 10:32,正向,1
5.5年,洲相恋敬佩公冶4934,保利发展(600048.sh),机构普遍看好板块年底的估值切换行情,机构普遍看好板块年底的估值切换行情,2017/11/10 16:30,中性,0
6.7年,股友dhergr8443,保利发展(600048.sh),明天还是涨停！若下周一继续涨停公司将丧失信息。,明天还是涨停！若下周一继续涨停公司将丧失信息。,2017/11/10 22:23,正向,1
7.1年,昭松震丰,保利发展(600048.sh),应该横空出世！,应该横空出世！,2017/1/7 16:28,正向,1
5.8年,a果树3606,保利发展(600048.sh),昨天卖了万科赚了两个点买了广发，今天高抛了广发赚了三个点9.09元又全仓了保利欧,昨天卖了万科赚了两个点买了广发，今天高抛了广发赚了三个点9.09元又全仓了保利欧耶！！！！！！！,2016/11/3 12:41,正向,1
5.4年,恒华包装1,保利发展(600048.sh),保利走势怎越来越差啊，大盘股那个不涨啊，上证都涨80多点，15年11月份总资产同,保利走势怎越来越差啊，大盘股那个不涨啊，上证都涨80多点，15年11月份总资产同万科差不多，现差多少啦，管理层都不关心市值吗，现比华夏幸福还少，丢人不，今一季度业绩是万科3分之一，怎回事啊，还叫人玩不，走一至二步退七至八步，走一圈还是原位。,2017/4/14 13:06,正向,1
3.3年,估值市,保利发展(600048.sh),业绩有知了，一路涨起来,业绩有知了，一路涨起来,2019/7/19 9:36,正向,1
2.6年,磨炼耐心,保利发展(600048.sh),我发现这吧里有一个股神，天天保利最低点买去，最高点卖出，敢问家里房子有没有卖了来,我发现这吧里有一个股神，天天保利最低点买去，最高点卖出，敢问家里房子有没有卖了来炒股，按这么精确的方法不用多久又是一套房,2019/11/29 11:55,中性,0
6.1年,笨蛋狼,保利发展(600048.sh),大笑昨天收盘买进，今天收盘卖出，明天绿了3%我就再进来大笑,[大笑]昨天收盘买进，今天收盘卖出，明天绿了3%我就再进来[大笑],2019/4/16 15:03,正向,1
3.8年,fledged6590,保利发展(600048.sh),庄家要横盘弄死你们,庄家要横盘弄死你们,2018/7/23 13:43,负向,-1
4.7年,股友cz3sDd6311,保利发展(600048.sh),智飞生物300122融资融券信息0705,智飞生物(300122)融资融券信息(07-05),2017/9/2 18:31,中性,0
10.2年,上引线明天跌,保利发展(600048.sh),吃不下饭,吃不下饭,2017/1/7 9:53,负向,-1
7.8年,scandy666,保利发展(600048.sh),大盘红了就可放心发新股票了哈哈哈哈,股市征结根源在哪？,2017/7/14 20:22,正向,1
8.7年,n334213794240122,保利发展(600048.sh),我就说华微3元以下才是底,我就说华微3元以下 才是底,2018/10/11 8:49,负向,-1
5.9年,股友DUrgkg,保利发展(600048.sh),下周一准备出保利去投区块链，一周收益保利一年都不能企及,下周一准备出保利去投区块链，一周收益保利一年都不能企及,2019/10/27 13:05,负向,-1
8年,伱媞偶嫡葲卟,保利发展(600048.sh),今天继续跌2个点以上,今天继续跌2个点以上,2018/3/13 9:26,负向,-1
13.6年,孤星追月1,保利发展(600048.sh),年份工业铁路公用事业,几年的钱全亏完了，去他妈的垃圾,2018/11/7 15:54,负向,-1
3.2年,股友8GGXOF,保利发展(600048.sh),前几天进的游资全走了,前几天进的游资全走了,2019/3/7 13:16,负向,-1
7年,文liujingwen9432,保利发展(600048.sh),亲们，把那个说有五个板的拉出来打一顿！,亲们，把那个说有五个板的拉出来打一顿！,2017/8/24 10:15,负向,-1
7.1年,n673794299260114,保利发展(600048.sh),臭臭不要脸,臭臭不要脸,2018/10/14 21:09,负向,-1
6.4年,牛市何在呢,保利发展(600048.sh),有没有16元套着的,嘻嘻嘻,2019/10/21 10:24,负向,-1
3.1年,binoss,保利发展(600048.sh),保利物业将终止全国中小企业股份转让系统挂牌，专家称或拆分上市4月10日，保利发,保利物业将终止全国中小企业股份转让系统挂牌，专家称或拆分上市 4月10日，保利发展控股集团股份有限公司(SH：600048，下称“保利地产”)发布公告，旗下全资子公司保利物业发展股份有限公司(下称“保利物业”)于近日收到全国中小企业股份转让系统有限责任公司出具的《关于同意保利物业发展股份有限公司股票终止在全国中小企业股份转让系统挂牌的函》(股转系统函[2019]1096 号)，保利物业的股票自20...,2019/4/10 18:53,中性,0
4.8年,股友oYCPqB,保利发展(600048.sh),今天大部分股会收阳线！,今天大部分股会收阳线！,2018/7/9 14:27,中性,0
6.4年,是谁在放风,保利发展(600048.sh),加仓,加仓～,2016/8/17 14:42,正向,1
5.6年,刘朝牛,保利发展(600048.sh),保利现金充足，刚刚厦门29.1亿拿一宗住宅用地,保利现金充足，刚刚厦门29.1亿拿一宗住宅用地,2018/6/1 13:28,正向,1
4.9年,股友cTT9y5,保利发展(600048.sh),主力加仓了，保利地产，我爱你。,主力加仓了，保利地产，我爱你。,2019/4/29 11:38,正向,1
5.2年,hwx99vbc3381,保利发展(600048.sh),哦,哦,2017/4/13 20:33,中性,0
6.1年,股友v01509P768,保利发展(600048.sh),保利地产下午大涨,保利地产下午大涨,2018/8/2 10:59,正向,1
7.1年,波含悦欣2857,保利发展(600048.sh),数分时反弹了，但是从异动个股来看,数分时反弹了，但是从异动个股来看,2017/5/25 9:11,中性,0
5.3年,望天感叹,保利发展(600048.sh),现在买万科就是找死,现在买万科就是找死,2017/7/6 10:47,负向,-1
10.6年,丸子先生,保利发展(600048.sh),感觉保利地产7.65买入现价3.9元的保利置业严重损害中小股东利益，明明可以在港股6元6元公开要约收购的硬是溢价120%买,感觉保利地产7.65买入现价3.9元的保利置业严重损害中小股东利益，明明可以在港股6元 6元公开要约收购的 硬是溢价120%买,2017/12/6 9:41,负向,-1
6年,二点五十九分,保利发展(600048.sh),慢牛急熊,慢牛急熊,2018/6/26 17:05,负向,-1
7.4年,rounrsnsori9077,保利发展(600048.sh),香港惊现1432例住宅负资产，3个月暴增15倍,香港现1432例住宅“负资产” 3个月暴增15倍  来源：2016年05月01日 04,2016/5/1 12:28,中性,0
7.7年,大底建仓中2266,保利发展(600048.sh),中国联通都已经翻倍了很多股票比其条件优越,"中国联通都已经翻倍了,很多股票比其条件优越",2016/12/23 11:01,正向,1
8.3年,股友VIPtGX,保利发展(600048.sh),港珠澳大桥12公里香港接线月内将全线贯通2017041408,港珠澳大桥12公里香港接线月内将全线贯通 2017-04-14 08,2017/4/14 12:56,中性,0
4.2年,股友ei23HX,保利发展(600048.sh),坐等涨停,坐等涨停,2018/4/24 9:43,正向,1
5.2年,很韭的菜,保利发展(600048.sh),14.86清了就等14以下满仓了,14.86清了、就等14以下满仓了,2019/9/20 10:39,中性,0
7.2年,稍恃读肺烤3658,保利发展(600048.sh),美元或成最大赢家e,美元或成最大赢家e,2017/9/6 16:35,中性,0
5.8年,手贴有好股3025,保利发展(600048.sh),下周大盘望正式运行新一轮主升，10股有望涨停！,下周大盘望正式运行新一轮主升，10股有望涨停！,2016/9/9 15:21,正向,1
5.9年,股友DUrgkg,保利发展(600048.sh),降准来了,降准来了,2019/9/6 17:33,中性,0
7.4年,家电维修售后,保利发展(600048.sh),有买的吗,有买的吗？,2016/12/7 13:34,中性,0
5.4年,炒股忘了放盐,保利发展(600048.sh),保利的战友们你们还好吗黑色星期五啊今天，你们准备好过周末了吗,保利的战友们你们还好吗？黑色星期五啊今天，你们准备好过周末了吗,2017/8/11 11:49,负向,-1
4.3年,初心和信心,保利发展(600048.sh),辣鸡保利地产！！！,辣鸡保利地产！！！,2018/7/18 13:35,负向,-1
6.7年,股友r54fHm,保利发展(600048.sh),准备好炮弹，我带你们精准的切入进去今晚还有两只,准备好炮弹，我带你们精准的切入进去 今晚还有两只,2017/4/14 22:35,中性,0
5.7年,糖粕虎,保利发展(600048.sh),小心资源股强弩之末，暗藏杀机！,刚刚一重磅信号突袭A股暗示有大动作,2017/9/27 20:34,负向,-1
10.3年,gwd2003,保利发展(600048.sh),保利每天往下砸盘，这是让外资吃饱货吗,从18年半年报到今天外资持股已经翻倍了。,2019/1/24 9:59,负向,-1
6.9年,股友d6e9qr,中国中免(601888.sh),此股必上100元，免税店的商品供不应求，生意好的B爆。,此股必上100元，免税店的商品供不应求，生意好的B爆。,2019/3/29 22:50,正向,1
7年,智取一碗,保利发展(600048.sh),那么多1手的，给你们卖的提示，还不明白兴奋兴奋兴奋,那么多1手的，给你们卖的提示，还不明白[兴奋][兴奋][兴奋],2018/7/9 13:17,中性,0
7年,鹤见魄胆4344,保利发展(600048.sh),早盘追高了！明天冲高清仓b,早盘追高了！明天冲高清仓b,2017/9/25 8:55,正向,1
5.2年,h7rix3564,保利发展(600048.sh),是最快乐的,是最快乐的,2017/4/18 10:27,正向,1
7年,文liujingwen9432,保利发展(600048.sh),永远跟着万科走，就不能走出自己独立的行情来妈的，万科都是在高位，你跟个毛啊,永远跟着万科走，就不能走出自己独立的行情来？妈的，万科都是在高位，你跟个毛啊,2017/7/7 11:14,负向,-1
6.8年,股海落花4427,保利发展(600048.sh),星星使天空绚烂夺目知识使人增长才干。,星星使天空绚烂夺目;知识使人增长才干。,2017/6/13 21:40,中性,0
3.9年,股友3aoJAB,保利发展(600048.sh),把基金卖了，这些基金经理都是饭桶,把基金卖了，这些基金经理都是饭桶,2019/3/12 15:06,负向,-1
7.1年,涨不停呀么涨不停,中国中免(601888.sh),历史新高来啊,历史新高来啊,2019/4/17 14:55,正向,1
6.9年,春宵一刻万点红0506,保利发展(600048.sh),还有这么多看涨的，看来是没戏了。保利若涨，猪都能上天。,还有这么多看涨的，看来是没戏了。保利若涨，猪都能上天。,2016/12/16 11:55,负向,-1
4.2年,股友7EMS93,保利发展(600048.sh),这辣鸡股恶心,这辣鸡股 恶心,2018/4/27 10:01,负向,-1
11.3年,hekoo,保利发展(600048.sh),机会总是跌出来的。耐心等待是关键。,机会总是跌出来的。耐心等待是关键。,2016/1/28 23:14,正向,1
4.1年,股友XGQaeY,保利发展(600048.sh),明天会继续跌吗加油,明天会继续跌吗[加油],2018/3/19 14:03,负向,-1
4.2年,股友s1aOfU9541,保利发展(600048.sh),星火环境,星火环境,2018/3/2 15:26,中性,0
7.4年,股友5CEzic,保利发展(600048.sh),11月份之前你想免费旅游一次欢乐谷吗你只要开个帐户买入华侨城A股票100股，轻,11月份之前你想免费旅游一次欢乐谷吗？你只要开个帐户买入华侨城A股票100股，轻松得到欢乐谷小小股东福利免费一天门票“”每年十一份哦”,2016/10/17 22:28,中性,0
7.2年,胆小老股民,保利发展(600048.sh),还好昨天卖了换了钢铁,还好昨天卖了换了钢铁,2019/2/26 14:10,负向,-1
6.8年,HX80290947442,保利发展(600048.sh),博控科技,博控科技,2018/4/27 17:39,中性,0
4年,NQLQN,保利发展(600048.sh),垃圾烂爆力，再见再也不见,垃圾烂爆力，再见再也不见,2019/1/7 11:26,负向,-1
5.4年,轩辕霸衣6573,保利发展(600048.sh),保利地产和香港上市企业强强联合，重大利好,保利地产和合富辉煌集团控股有限公司，今天传出重磅消息，而港股合富辉煌（00733）早上开盘后，中午也紧急停牌，期待明天保利的表现，希望是个好消息,2018/1/29 19:24,正向,1
6.4年,股海搏击188886390,保利发展(600048.sh),今天小散进货全数被套,今天小散进货全数被套,2017/4/18 9:46,负向,-1
3.4年,骑牛逐利,保利发展(600048.sh),消息出来了基本就要结束了摊手,消息出来了基本就要结束了[摊手],2019/7/8 12:16,负向,-1
4.7年,股友iPlhz4,保利发展(600048.sh),600400红豆股份：集四大利好在一身，主力洗盘一年即将拉升！一业绩预增,600400红豆股份 ：集四大利好在一身，主力洗盘一年即将拉升！ 一、业绩预增,2017/9/2 18:13,正向,1
9.2年,kp1681685177,保利发展(600048.sh),失去生命线不要想涨,20日线,2016/10/14 10:23,负向,-1
8.1年,黑夜的爱,保利发展(600048.sh),龙灏：融创中国还是融创美国,创业板大涨，我们到底要不要转战创蓝筹？,2017/9/27 17:36,中性,0
7年,梅娟晶娣薇2338,保利发展(600048.sh),送给保利地产所有散户们的定心丸，只要这个信号还在，今日的走势根本就不用操作操心的！,送给“保利地产”所有散户们的定心丸，只要这个信号还在，今日的走势根本就不用操作操心的！,2017/6/26 22:43,正向,1
6.8年,股友V0DFVj,保利发展(600048.sh),缩量十字星震荡节奏开启,缩量十字星震荡节奏开启,2017/10/21 9:58,中性,0
7.2年,Leon_Wong,保利发展(600048.sh),血淋淋的筹码，就不给主力,血淋淋的筹码，就不给主力,2018/5/22 12:48,负向,-1
6.7年,思索平海4415,保利发展(600048.sh),今天继续收阴机会很大,今天继续收阴机会很大,2017/11/6 18:58,负向,-1
4.5年,股友GT7QOg4487,保利发展(600048.sh),这只芯片股可大胆低吸,这只芯片股可大胆低吸,2017/12/6 14:50,正向,1
3.6年,宝哥131419,保利发展(600048.sh),肯定创新高阿胜利，手里有8个点的底仓,肯定创新高阿[胜利]，手里有8个点的底仓,2019/12/13 10:41,正向,1
7.1年,YuMing3,保利发展(600048.sh),保利地产主力一直高抛低吸，这是吸筹够了再发起下一轮上涨，春节前20.88不见不散,保利地产主力一直高抛低吸，这是吸筹够了再发起下一轮上涨，春节前20.88不见不散,2018/1/24 22:50,正向,1
4.1年,Yccc,保利发展(600048.sh),基本上有来有往的，这次的回调显得很坚决，因为不够力气突破,基本上有来有往的，这次的回调显得很坚决，因为不够力气突破？？,2019/12/25 10:48,负向,-1
6.3年,习惯反复听一首歌,保利发展(600048.sh),先高开又低开，都是没用的挣扎,先高开又低开，都是没用的挣扎,2017/11/2 9:21,负向,-1
9.2年,yanyg2838,保利发展(600048.sh),是买进去了是买进去了是买进去了是买进去了,是买进去了是买进去了是买进去了,2018/5/22 13:37,正向,1
7.7年,五路财神显,保利发展(600048.sh),保绿名不虚传,保绿名不虚传,2019/11/18 14:20,负向,-1
7年,高山流水1iwary9139,保利发展(600048.sh),一边发新股创造大量亿万富翁，一边是中小散户亏损血流成河,一边发新股创造大量亿万富翁，一边是中小散户亏损血流成河,2017/5/9 13:42,负向,-1
3年,大鲲鹏飞呀飞,保利发展(600048.sh),涨停了，买好离手！！！,涨停了，买好离手！！！,2019/7/19 10:08,正向,1
4.8年,细业守方我颖8980,保利发展(600048.sh),！！保利地产拭目以待必将长红,下跳即将来临,2017/8/1 14:06,正向,1
3.6年,小袁价投,保利发展(600048.sh),估值这么低的保利地产应不应该拯救,保利地产市盈率持续走低， 正式低吸好机会 ，个人建议 ，喜欢地产股的可以试试,2019/4/22 23:28,负向,-1
6.9年,股友3TAdsr,保利发展(600048.sh),的所得税,的所得税,2016/9/22 21:55,中性,0
10.4年,n250913258210912,保利发展(600048.sh),明日小散还割肉吗七元,明日小散还割肉吗?七元,2018/6/5 9:57,负向,-1
6.9年,语过添情edvglq0504,保利发展(600048.sh),不为股民着想的上市公司，都是扰乱中国经济的公司,股民不赚到正常来源的钱，肯定不会投资股市，这样中国创新的资金就更少了,2016/4/11 11:22,负向,-1
4.7年,股友XfyCfX1347,保利发展(600048.sh),这股票炒的，股指大红，下面绿一片！,这股票炒的，股指大红，下面绿一片！,2017/9/26 23:18,负向,-1
3.2年,股友vamYTT,保利发展(600048.sh),崴泥了好困惑,崴泥了[好困惑],2019/7/25 9:55,负向,-1
6.4年,紫金缠桂,保利发展(600048.sh),今天看保利跌的这么深，吓哭了，看下持仓，才发现昨天出了,今天看保利跌的这么深，吓哭了，看下持仓，才发现昨天出了,2016/9/23 9:56,负向,-1
7.1年,yibanhuaiqia3694,保利发展(600048.sh),歪球。,歪球。,2017/10/25 7:59,负向,-1
11.8年,股友8G06D72035,保利发展(600048.sh),保利地产为何与万科股价差距这么大,保利地产为何与万科股价差距这么大,2018/7/9 15:34,负向,-1
4.2年,Kby蔣6y,保利发展(600048.sh),全柴动力厚普股份今天重点关注开启连续涨停模式,"氢能车和加氢站是国家扶持产业 大胆买入！买入！买入！，虽然你们一而在，再而三的失去了6元多，7元多可一次性满仓买入的良好机会，今天如果你们能果断13元多买上？5个交易日过后，全柴动力的股价一定在19元左右！到那时你们才觉得13元多买入的全柴动力价格很低！很正确 前天就推介大家上车了,今年氢能源是重点发展元年,全柴动力和厚普股份将会超越东方通信成为两市妖股总龙头!",2019/4/12 7:51,正向,1
7.8年,芈离岛,保利发展(600048.sh),高开低走，下午收盘能平盘就不错了,高开低走，下午收盘能平盘就不错了,2016/6/24 10:39,负向,-1
7.1年,股友GHVNp85434,保利发展(600048.sh),看不懂此股主力的意图大单资金连续流入a,看不懂此股主力的意图 大单资金连续流入a,2017/9/19 6:26,中性,0
4.2年,onlyone阿禄,保利发展(600048.sh),我觉得地产股特别是像保利这样的，今天所在盘口几乎全红的情况下都不长还跌可见,我觉得地产股特别是像保利这样的，今天所在盘口几乎全红的情况下都不长还跌。可见保利后坐力更本不行，保利去年大多时候都在9.5】徘徊今年这个价位确实是处于一个高位。特别是最近一周交易我感觉保利悬了可能会走下坡。个人建议，亲们必须注意了,2018/5/3 15:16,负向,-1
6.1年,飞跃2817,保利发展(600048.sh),明天涨停,平均20个交易日持有深圳市值5000的股票，可以有500的深新股额吗？,2016/12/1 15:33,负向,-1
5年,股友D7OGJ4,保利发展(600048.sh),一二线龙头地产股具有估值向上修复的空间,一、二线地产龙头2017年整体销售大幅增长，结算业绩向好没有太大悬念。在销售及业绩向好的情况下，一、二线龙头地产股具有估值向上修复的空间.,2018/1/18 20:10,正向,1
6.7年,股友IRMDqF6488,保利发展(600048.sh),今天5.13追了1亿股，又套了，别介啊困顿。,今天5.13追了1亿股，又套了，别介啊[困顿]。,2017/12/15 23:57,负向,-1
7年,langlangyoux,保利发展(600048.sh),是一次庄家主力在把它仍然不稀罕要的筹码高抛给市场的阶段,是一次庄家主力在把它仍然不稀罕要的筹码高抛给市场的阶段,2017/5/29 16:37,负向,-1
4年,账户已注销,保利发展(600048.sh),开盘涨停很期待,开盘涨停很期待,2018/5/23 0:53,正向,1
7.1年,YuMing3,保利发展(600048.sh),今天是买入的机会,今天是买入的机会,2018/1/25 13:23,正向,1
7.4年,被宰的羔羊11,保利发展(600048.sh),准备停牌！,准备停牌！,2018/1/4 9:54,负向,-1
13.6年,王小三,保利发展(600048.sh),参照近两年格力电器的高分红,A股高估值个股数量庞大 一旦去泡沫的进程量变引起质变 市场集中意识到问题后容易引起集中抛售 加速下跌进程在所难免；,2017/7/9 19:50,负向,-1
5.5年,时刻等待2,保利发展(600048.sh),准备拉升，大家坐好了大笑大笑大笑大笑大笑,准备拉升，大家坐好了[大笑][大笑][大笑][大笑][大笑],2017/8/8 13:24,正向,1
8.6年,路过的A,保利发展(600048.sh),有没有哪位财神爷把保利也收购了就好,有没有哪位财神爷把保利也收购了就好,2016/1/6 9:59,中性,0
9年,小当家高手,保利发展(600048.sh),着了，着了，在往下了，更是今天被套住了，,跑不了，跑不出来了，完了,2018/3/1 11:04,负向,-1
4.7年,股友WSEJwp,保利发展(600048.sh),有子万事足，无股一身轻,有子万事足，无股一身轻,2017/9/11 19:16,中性,0
5.1年,股友PeEbsB1309,保利发展(600048.sh),行数据显示：3月,行数据显示：3月,2017/4/4 15:53,中性,0
3.9年,嗑保利了,保利发展(600048.sh),又被割韭菜了吧，12块多不走。不过这下机会倒是又来了。,又被割韭菜了吧，12块多不走。不过这下机会倒是又来了。,2018/8/1 20:10,中性,0
2.7年,股友2GYYiB,保利发展(600048.sh),佛山放松调控！其它城市还会远吗明天开始雄起！,佛山放松调控！其它城市还会远吗？明天开始雄起！,2019/12/1 12:52,正向,1
6.4年,价值投资换潇洒,中国中免(601888.sh),潜力好股票，所有飞机场的连锁定都是它旗下的，这样利润暴涨的行业，股价和未来价值截然不匹配！！...,潜力好股票，所有飞机场的连锁定都是它旗下的，这样利润暴涨的行业，股价和未来价值截,2019/4/19 21:18,正向,1
7.2年,测测而发4159,保利发展(600048.sh),360借壳，马上公布停牌了。,360借壳，马上公布停牌了。,2017/12/8 7:42,负向,-1
14年,股友rrvW2j,保利发展(600048.sh),约开户流程文字及图例指,约开户流程文字及图例指,2017/4/11 21:12,中性,0
7.8年,马到成功帅,保利发展(600048.sh),冲鸭，向15元进军大笑大笑大笑,冲鸭，向15元进军[大笑][大笑][大笑],2019/11/22 9:56,正向,1
14.2年,143688942,保利发展(600048.sh),新股定位价和市盈率越来越低。,新股定位价和市盈率越来越低。,2017/12/20 15:45,负向,-1
